,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
Strategy,13,54,0.07,0.63,-0.3,8.85619148504601
Strategy,14,52,0.07,0.62,-0.28,8.794069171575025
Strategy,18,110,0.07,0.6,-0.28,8.70990424141436
Strategy,13,55,0.07,0.62,-0.3,8.69983138456153
Strategy,30,89,0.07,0.59,-0.3,8.662177357349469
Strategy,27,118,0.07,0.57,-0.29,8.656220171833297
Strategy,18,109,0.07,0.6,-0.27,8.644219750679731
Strategy,17,110,0.07,0.6,-0.3,8.629623527479506
Strategy,12,53,0.07,0.62,-0.28,8.629494547312447
Strategy,29,120,0.07,0.57,-0.3,8.615651300966876
Strategy,51,68,0.07,0.57,-0.28,8.609462141816099
Strategy,29,89,0.07,0.59,-0.29,8.584082787236634
Strategy,28,122,0.07,0.57,-0.3,8.532176354058308
Strategy,14,50,0.07,0.62,-0.29,8.518371700437571
Strategy,29,90,0.07,0.59,-0.28,8.490298054425102
Strategy,30,88,0.07,0.59,-0.3,8.476861597824882
Strategy,27,120,0.07,0.57,-0.3,8.468827633001577
Strategy,17,109,0.07,0.59,-0.28,8.45623701469813
Strategy,18,60,0.07,0.61,-0.3,8.423658420387888
Strategy,51,67,0.07,0.56,-0.28,8.370645988260838
Strategy,14,51,0.07,0.61,-0.28,8.34335642969791
Strategy,27,119,0.07,0.56,-0.29,8.284211236471949
Strategy,17,108,0.07,0.59,-0.29,8.239433832331725
Strategy,30,117,0.07,0.56,-0.29,8.148042835311426
Strategy,27,74,0.07,0.58,-0.28,8.137309884853883
Strategy,18,108,0.07,0.58,-0.3,8.115769203959479
Strategy,17,105,0.07,0.58,-0.29,8.090354538077074
Strategy,13,50,0.07,0.6,-0.27,8.086699322867267
Strategy,18,107,0.07,0.58,-0.3,8.085432654642641
Strategy,17,106,0.07,0.58,-0.28,8.080611492894194
Strategy,29,87,0.06,0.57,-0.29,8.046882262031204
Strategy,14,53,0.07,0.6,-0.3,8.04394947531431
Strategy,27,75,0.06,0.57,-0.28,8.019400705591408
Strategy,29,88,0.06,0.57,-0.29,8.013321358826222
Strategy,29,91,0.06,0.57,-0.3,7.917354274810046
Strategy,17,107,0.06,0.57,-0.3,7.889986540822934
Strategy,26,76,0.06,0.57,-0.3,7.869217625891972
Strategy,17,104,0.06,0.57,-0.3,7.8206314781968285
Strategy,18,106,0.06,0.57,-0.3,7.8000224194310865
Strategy,50,70,0.06,0.54,-0.28,7.689568649413393
Strategy,27,64,0.06,0.57,-0.3,7.602233919244912
Strategy,50,68,0.06,0.53,-0.29,7.500888224977656
Strategy,49,69,0.06,0.53,-0.28,7.481081845347414
Strategy,48,71,0.06,0.54,-0.3,7.470777170524486
Strategy,27,65,0.06,0.56,-0.3,7.446887180566673
Strategy,26,75,0.06,0.55,-0.29,7.393989198379123
Strategy,50,69,0.06,0.53,-0.28,7.346948608351724
Strategy,49,68,0.06,0.53,-0.28,7.3247051540035955
Strategy,25,64,0.06,0.56,-0.3,7.322336105502549
Strategy,50,67,0.06,0.53,-0.3,7.296769987027662
Strategy,25,76,0.06,0.55,-0.3,7.245395825472374
Strategy,26,77,0.06,0.55,-0.3,7.1868938239701095
Strategy,50,64,0.06,0.51,-0.3,7.181139677328524
Strategy,26,74,0.06,0.54,-0.29,7.139188190746712
Strategy,51,61,0.06,0.51,-0.3,7.1236535275045965
Strategy,49,67,0.06,0.52,-0.28,7.103830563649152
Strategy,49,70,0.06,0.51,-0.29,6.968805332321927
Strategy,48,69,0.06,0.51,-0.29,6.9554588022117905
Strategy,48,67,0.06,0.51,-0.28,6.9225429675197425
Strategy,48,68,0.06,0.5,-0.28,6.72635235229511
Strategy,50,62,0.06,0.5,-0.29,6.643259183875244
Strategy,24,61,0.06,0.53,-0.3,6.6145990035022715
Strategy,24,65,0.06,0.53,-0.3,6.59157102962566
Strategy,48,66,0.06,0.48,-0.29,6.292252237840046
Strategy,46,69,0.06,0.49,-0.3,6.2728134375428315
Strategy,47,68,0.06,0.49,-0.3,6.234347234705167
Strategy,47,69,0.05,0.48,-0.29,6.186884947250863
Strategy,47,67,0.05,0.48,-0.28,6.069789381228395
Strategy,46,68,0.05,0.48,-0.3,6.06022295596119
Strategy,49,62,0.05,0.47,-0.3,5.996078053557668
Strategy,49,64,0.05,0.46,-0.29,5.89840665234849
Strategy,49,63,0.05,0.46,-0.3,5.8607541841884325
Strategy,47,65,0.05,0.47,-0.3,5.8432213992544835
Strategy,47,64,0.05,0.47,-0.3,5.810733089723378
Strategy,48,60,0.05,0.46,-0.29,5.770967167800259
Strategy,48,59,0.05,0.45,-0.29,5.6031138936223615
Strategy,46,67,0.05,0.46,-0.29,5.546195644550636
Strategy,49,61,0.05,0.45,-0.3,5.540490225403169
Strategy,45,68,0.05,0.45,-0.29,5.342238889280913
Strategy,45,66,0.05,0.42,-0.29,4.832945295863343
